,state,gender,avg_fam_income,pobc2,avggift,domain,target_d,med_fam_income_binned,med_home_val_transformed
0,FL,Male,520.0,16,28,C2,100.0,Moderate,0.2948459141988592
1,IL,Male,473.0,89,5,T2,7.0,Moderate,-0.6368333546312097
2,FL,Female,436.0,17,4,C2,5.0,Low,-0.2941109256602476
3,NC,Male,413.0,74,27,T2,38.0,Moderate,0.2948459141988592
4,FL,Female,348.0,6,6,C2,5.0,Low,0.0957250737041605
5,IL,Male,501.0,75,25,S2,30.0,Moderate,-0.23165858148194263
6,NC,Female,419.0,73,4,R2,12.0,Low,-0.21447998754795242
7,TX,Male,560.0,46,6,C1,7.0,Moderate,-0.04506779471406624
8,CA,Female,250.0,63,8,T2,10.0,Low,0.2948459141988592
9,NV,Female,781.0,44,13,T1,5.0,Moderate,0.7123367579667541
10,CA,Female,588.0,54,8,U1,10.0,Moderate,1.9879608680035585
11,Cali,Female,496.0,52,11,T2,10.0,Moderate,0.13513732781307425
12,AP,F,0.0,0,5,0,6.0,Low,-4.179470003798405
13,MI,F,523.0,53,11,S1,15.0,Moderate,-0.04506779471406624
14,FL,Female,702.0,24,18,T1,28.0,Moderate,0.6605705546209222
15,FL,Female,411.0,8,15,C2,15.0,Low,0.03416359340389158
16,TX,Female,74.0,94,5,C3,6.0,Low,-1.3748228573148267
17,CA,F,625.0,66,9,S1,12.0,Moderate,1.0325422101375004
18,OK,F,656.0,56,11,C2,15.0,Moderate,0.15264212310042205
19,AR,F,341.0,70,5,0,5.0,Low,-0.50746551652054
20,IN,Female,370.0,80,7,T2,10.0,Low,-0.6595466642556296
21,MT,Male,432.0,53,9,C1,25.0,Moderate,-0.30723371991100706
22,TX,Male,650.0,61,6,S1,15.0,Moderate,0.11618086678373783
23,IL,Male,317.0,53,8,S2,5.0,Low,0.1810175393970237
24,IL,Male,212.0,67,10,R3,10.0,Low,-1.2626015275218818
25,CA,Male,393.0,49,5,S2,5.0,Low,0.6838562731889329
26,WI,Female,392.0,74,12,S1,5.0,Low,-0.5282586607953467
27,MO,Male,416.0,71,7,C2,10.0,Moderate,-0.07187011040965571
28,IN,Male,264.0,45,8,S3,10.0,Low,-0.9417852758774374
29,TX,Female,396.0,88,6,R2,7.5,Moderate,-0.310531676412396
30,HI,Female,503.0,78,15,C2,21.0,Moderate,1.3171165730443353
31,FL,Male,269.0,20,12,S3,20.0,Low,-0.5924396979183406
32,TX,Male,531.0,42,12,U1,20.0,Moderate,0.2948459141988592
33,CA,Female,190.0,57,16,R1,15.0,Low,-0.520664043723685
34,UT,Male,394.0,82,15,C3,25.0,Moderate,-0.3254592435704086
35,GA,Female,588.0,55,10,C2,16.0,Moderate,-0.06194468162943314
36,WA,Female,545.0,51,6,C2,10.0,Moderate,0.4228896110661798
37,CA,Female,678.0,61,8,C1,5.0,Moderate,1.327854775570541
